image_name,Type_1,Type_2,Type_3
0.jpg,0.1,0.74,0.16
1.jpg,0.18,0.44,0.38
10.jpg,0.14,0.52,0.34
100.jpg,0.1,0.7,0.2
101.jpg,0.14,0.56,0.3
102.jpg,0.12,0.58,0.3
103.jpg,0.28,0.28,0.44
104.jpg,0.12,0.58,0.3
105.jpg,0.18,0.38,0.44
106.jpg,0.26,0.48,0.26
107.jpg,0.04,0.62,0.34
108.jpg,0.16,0.44,0.4
109.jpg,0.1,0.66,0.24
11.jpg,0.08,0.56,0.36
110.jpg,0.14,0.68,0.18
111.jpg,0.18,0.54,0.28
112.jpg,0.06,0.46,0.48
113.jpg,0.06,0.72,0.22
114.jpg,0.32,0.44,0.24
115.jpg,0.14,0.44,0.42
116.jpg,0.2,0.58,0.22
117.jpg,0.24,0.56,0.2
118.jpg,0.18,0.46,0.36
119.jpg,0.1,0.64,0.26
12.jpg,0.08,0.38,0.54
120.jpg,0.16,0.74,0.1
121.jpg,0.04,0.42,0.54
122.jpg,0.1,0.42,0.48
123.jpg,0.24,0.46,0.3
124.jpg,0.12,0.54,0.34
125.jpg,0.02,0.62,0.36
126.jpg,0.06,0.7,0.24
127.jpg,0.1,0.82,0.08
128.jpg,0.12,0.56,0.32
129.jpg,0.26,0.52,0.22
13.jpg,0.12,0.46,0.42
130.jpg,0.2,0.62,0.18
131.jpg,0.08,0.58,0.34
132.jpg,0.2,0.54,0.26
133.jpg,0.18,0.3,0.52
134.jpg,0.18,0.46,0.36
135.jpg,0.22,0.56,0.22
136.jpg,0.14,0.46,0.4
137.jpg,0.24,0.46,0.3
138.jpg,0.04,0.18,0.78
139.jpg,0.14,0.62,0.24
14.jpg,0.12,0.38,0.5
140.jpg,0.2,0.44,0.36
141.jpg,0.2,0.48,0.32
142.jpg,0.26,0.5,0.24
143.jpg,0.16,0.64,0.2
144.jpg,0.12,0.54,0.34
145.jpg,0.16,0.52,0.32
146.jpg,0.42,0.26,0.32
147.jpg,0.16,0.48,0.36
148.jpg,0.18,0.62,0.2
149.jpg,0.22,0.4,0.38
15.jpg,0.12,0.46,0.42
150.jpg,0.2,0.52,0.28
151.jpg,0.24,0.3,0.46
152.jpg,0.12,0.52,0.36
153.jpg,0.24,0.38,0.38
154.jpg,0.1,0.56,0.34
155.jpg,0.14,0.5,0.36
156.jpg,0.14,0.42,0.44
157.jpg,0.24,0.54,0.22
158.jpg,0.24,0.44,0.32
159.jpg,0.34,0.44,0.22
16.jpg,0.32,0.3,0.38
160.jpg,0.12,0.84,0.04
161.jpg,0.3,0.4,0.3
162.jpg,0.12,0.56,0.32
163.jpg,0.26,0.46,0.28
164.jpg,0.24,0.36,0.4
165.jpg,0.24,0.36,0.4
166.jpg,0.26,0.48,0.26
167.jpg,0.1,0.4,0.5
168.jpg,0.12,0.42,0.46
169.jpg,0.16,0.58,0.26
17.jpg,0.3,0.5,0.2
170.jpg,0.22,0.38,0.4
171.jpg,0.16,0.6,0.24
172.jpg,0.08,0.28,0.64
173.jpg,0.08,0.34,0.58
174.jpg,0.26,0.4,0.34
175.jpg,0.34,0.5,0.16
176.jpg,0.06,0.6,0.34
177.jpg,0.2,0.62,0.18
178.jpg,0.26,0.58,0.16
179.jpg,0.42,0.46,0.12
18.jpg,0.2,0.4,0.4
180.jpg,0.1,0.64,0.26
181.jpg,0.14,0.36,0.5
182.jpg,0.12,0.44,0.44
183.jpg,0.2,0.38,0.42
184.jpg,0.08,0.56,0.36
185.jpg,0.18,0.72,0.1
186.jpg,0.12,0.66,0.22
187.jpg,0.08,0.56,0.36
188.jpg,0.14,0.34,0.52
189.jpg,0.28,0.36,0.36
19.jpg,0.06,0.56,0.38
190.jpg,0.2,0.38,0.42
191.jpg,0.24,0.44,0.32
192.jpg,0.38,0.36,0.26
193.jpg,0.28,0.34,0.38
194.jpg,0.22,0.4,0.38
195.jpg,0.38,0.22,0.4
196.jpg,0.48,0.38,0.14
197.jpg,0.14,0.5,0.36
198.jpg,0.32,0.32,0.36
199.jpg,0.16,0.5,0.34
2.jpg,0.18,0.62,0.2
20.jpg,0.24,0.42,0.34
200.jpg,0.12,0.72,0.16
201.jpg,0.1,0.52,0.38
202.jpg,0.04,0.54,0.42
203.jpg,0.26,0.38,0.36
204.jpg,0.14,0.54,0.32
205.jpg,0.14,0.56,0.3
206.jpg,0.28,0.58,0.14
207.jpg,0.16,0.4,0.44
208.jpg,0.16,0.6,0.24
209.jpg,0.04,0.42,0.54
21.jpg,0.1,0.6,0.3
210.jpg,0.2,0.6,0.2
211.jpg,0.08,0.56,0.36
212.jpg,0.14,0.54,0.32
213.jpg,0.14,0.7,0.16
214.jpg,0.34,0.26,0.4
215.jpg,0.28,0.5,0.22
216.jpg,0.2,0.66,0.14
217.jpg,0.26,0.5,0.24
218.jpg,0.26,0.4,0.34
219.jpg,0.1,0.38,0.52
22.jpg,0.08,0.78,0.14
220.jpg,0.1,0.44,0.46
221.jpg,0.14,0.6,0.26
222.jpg,0.24,0.44,0.32
223.jpg,0.34,0.4,0.26
224.jpg,0.12,0.54,0.34
225.jpg,0.1,0.6,0.3
226.jpg,0.12,0.52,0.36
227.jpg,0.48,0.3,0.22
228.jpg,0.28,0.54,0.18
229.jpg,0.32,0.34,0.34
23.jpg,0.34,0.4,0.26
230.jpg,0.26,0.4,0.34
231.jpg,0.38,0.36,0.26
232.jpg,0.22,0.46,0.32
233.jpg,0.34,0.44,0.22
234.jpg,0.18,0.6,0.22
235.jpg,0.06,0.4,0.54
236.jpg,0.24,0.48,0.28
237.jpg,0.2,0.42,0.38
238.jpg,0.06,0.32,0.62
239.jpg,0.34,0.44,0.22
24.jpg,0.08,0.62,0.3
240.jpg,0.16,0.48,0.36
241.jpg,0.14,0.62,0.24
242.jpg,0.24,0.56,0.2
243.jpg,0.28,0.56,0.16
244.jpg,0.2,0.44,0.36
245.jpg,0.12,0.56,0.32
246.jpg,0.12,0.5,0.38
247.jpg,0.32,0.58,0.1
248.jpg,0.18,0.46,0.36
249.jpg,0.3,0.54,0.16
25.jpg,0.1,0.76,0.14
250.jpg,0.12,0.6,0.28
251.jpg,0.16,0.52,0.32
252.jpg,0.18,0.72,0.1
253.jpg,0.16,0.46,0.38
254.jpg,0.12,0.74,0.14
255.jpg,0.08,0.66,0.26
256.jpg,0.16,0.46,0.38
257.jpg,0.16,0.48,0.36
258.jpg,0.16,0.24,0.6
259.jpg,0.14,0.4,0.46
26.jpg,0.1,0.82,0.08
260.jpg,0.08,0.58,0.34
261.jpg,0.1,0.26,0.64
262.jpg,0.32,0.32,0.36
263.jpg,0.28,0.44,0.28
264.jpg,0.24,0.56,0.2
265.jpg,0.12,0.7,0.18
266.jpg,0.18,0.4,0.42
267.jpg,0.3,0.6,0.1
268.jpg,0.14,0.58,0.28
269.jpg,0.06,0.86,0.08
27.jpg,0.24,0.46,0.3
270.jpg,0.14,0.52,0.34
271.jpg,0.2,0.44,0.36
272.jpg,0.16,0.58,0.26
273.jpg,0.12,0.42,0.46
274.jpg,0.18,0.44,0.38
275.jpg,0.24,0.52,0.24
276.jpg,0.22,0.32,0.46
277.jpg,0.48,0.28,0.24
278.jpg,0.04,0.8,0.16
279.jpg,0.26,0.42,0.32
28.jpg,0.18,0.62,0.2
280.jpg,0.22,0.4,0.38
281.jpg,0.26,0.28,0.46
282.jpg,0.1,0.48,0.42
283.jpg,0.34,0.44,0.22
284.jpg,0.22,0.54,0.24
285.jpg,0.22,0.56,0.22
286.jpg,0.02,0.88,0.1
287.jpg,0.06,0.6,0.34
288.jpg,0.14,0.54,0.32
289.jpg,0.18,0.4,0.42
29.jpg,0.12,0.44,0.44
290.jpg,0.16,0.64,0.2
291.jpg,0.26,0.54,0.2
292.jpg,0.28,0.4,0.32
293.jpg,0.14,0.58,0.28
294.jpg,0.3,0.6,0.1
295.jpg,0.16,0.54,0.3
296.jpg,0.26,0.52,0.22
297.jpg,0.12,0.7,0.18
298.jpg,0.18,0.36,0.46
299.jpg,0.16,0.5,0.34
3.jpg,0.06,0.48,0.46
30.jpg,0.22,0.64,0.14
300.jpg,0.28,0.4,0.32
301.jpg,0.14,0.58,0.28
302.jpg,0.04,0.66,0.3
303.jpg,0.12,0.58,0.3
304.jpg,0.28,0.52,0.2
305.jpg,0.2,0.38,0.42
306.jpg,0.24,0.44,0.32
307.jpg,0.18,0.38,0.44
308.jpg,0.14,0.56,0.3
309.jpg,0.14,0.5,0.36
31.jpg,0.22,0.6,0.18
310.jpg,0.12,0.6,0.28
311.jpg,0.18,0.32,0.5
312.jpg,0.18,0.62,0.2
313.jpg,0.24,0.42,0.34
314.jpg,0.2,0.48,0.32
315.jpg,0.22,0.56,0.22
316.jpg,0.32,0.54,0.14
317.jpg,0.04,0.7,0.26
318.jpg,0.24,0.34,0.42
319.jpg,0.16,0.64,0.2
32.jpg,0.16,0.64,0.2
320.jpg,0.12,0.76,0.12
321.jpg,0.14,0.62,0.24
322.jpg,0.06,0.68,0.26
323.jpg,0.22,0.62,0.16
324.jpg,0.2,0.76,0.04
325.jpg,0.14,0.52,0.34
326.jpg,0.16,0.44,0.4
327.jpg,0.1,0.52,0.38
328.jpg,0.06,0.28,0.66
329.jpg,0.14,0.44,0.42
33.jpg,0.24,0.48,0.28
330.jpg,0.08,0.5,0.42
331.jpg,0.12,0.76,0.12
332.jpg,0.2,0.48,0.32
333.jpg,0.2,0.44,0.36
334.jpg,0.08,0.42,0.5
335.jpg,0.16,0.4,0.44
336.jpg,0.2,0.78,0.02
337.jpg,0.16,0.48,0.36
338.jpg,0.22,0.44,0.34
339.jpg,0.1,0.62,0.28
34.jpg,0.14,0.58,0.28
340.jpg,0.52,0.36,0.12
341.jpg,0.18,0.56,0.26
342.jpg,0.04,0.44,0.52
343.jpg,0.14,0.3,0.56
344.jpg,0.18,0.42,0.4
345.jpg,0.14,0.5,0.36
346.jpg,0.32,0.44,0.24
347.jpg,0.28,0.48,0.24
348.jpg,0.12,0.4,0.48
349.jpg,0.18,0.54,0.28
35.jpg,0.22,0.6,0.18
350.jpg,0.14,0.62,0.24
351.jpg,0.12,0.42,0.46
352.jpg,0.26,0.5,0.24
353.jpg,0.06,0.36,0.58
354.jpg,0.34,0.5,0.16
355.jpg,0.3,0.6,0.1
356.jpg,0.12,0.5,0.38
357.jpg,0.26,0.38,0.36
358.jpg,0.36,0.62,0.02
359.jpg,0.26,0.4,0.34
36.jpg,0.42,0.3,0.28
360.jpg,0.06,0.76,0.18
361.jpg,0.12,0.54,0.34
362.jpg,0.2,0.5,0.3
363.jpg,0.12,0.48,0.4
364.jpg,0.08,0.36,0.56
365.jpg,0.16,0.5,0.34
366.jpg,0.14,0.38,0.48
367.jpg,0.18,0.66,0.16
368.jpg,0.16,0.3,0.54
369.jpg,0.1,0.6,0.3
37.jpg,0.18,0.68,0.14
370.jpg,0.12,0.4,0.48
371.jpg,0.16,0.72,0.12
372.jpg,0.16,0.44,0.4
373.jpg,0.18,0.54,0.28
374.jpg,0.3,0.4,0.3
375.jpg,0.22,0.54,0.24
376.jpg,0.16,0.42,0.42
377.jpg,0.08,0.58,0.34
378.jpg,0.26,0.56,0.18
379.jpg,0.12,0.6,0.28
38.jpg,0.16,0.38,0.46
380.jpg,0.12,0.6,0.28
381.jpg,0.2,0.6,0.2
382.jpg,0.14,0.66,0.2
383.jpg,0.3,0.44,0.26
384.jpg,0.14,0.38,0.48
385.jpg,0.22,0.38,0.4
386.jpg,0.14,0.52,0.34
387.jpg,0.12,0.74,0.14
388.jpg,0.12,0.36,0.52
389.jpg,0.02,0.66,0.32
39.jpg,0.32,0.34,0.34
390.jpg,0.18,0.62,0.2
391.jpg,0.1,0.6,0.3
392.jpg,0.24,0.38,0.38
393.jpg,0.18,0.52,0.3
394.jpg,0.32,0.6,0.08
395.jpg,0.16,0.46,0.38
396.jpg,0.18,0.48,0.34
397.jpg,0.24,0.44,0.32
398.jpg,0.18,0.6,0.22
399.jpg,0.1,0.46,0.44
4.jpg,0.14,0.5,0.36
40.jpg,0.18,0.36,0.46
400.jpg,0.16,0.46,0.38
401.jpg,0.24,0.52,0.24
402.jpg,0.22,0.7,0.08
403.jpg,0.24,0.36,0.4
404.jpg,0.2,0.72,0.08
405.jpg,0.18,0.54,0.28
406.jpg,0.18,0.78,0.04
407.jpg,0.26,0.4,0.34
408.jpg,0.14,0.38,0.48
409.jpg,0.18,0.6,0.22
41.jpg,0.24,0.54,0.22
410.jpg,0.12,0.38,0.5
411.jpg,0.1,0.68,0.22
412.jpg,0.16,0.58,0.26
413.jpg,0.18,0.6,0.22
414.jpg,0.18,0.3,0.52
415.jpg,0.1,0.54,0.36
416.jpg,0.28,0.34,0.38
417.jpg,0.34,0.44,0.22
418.jpg,0.34,0.32,0.34
419.jpg,0.08,0.36,0.56
42.jpg,0.18,0.46,0.36
420.jpg,0.06,0.54,0.4
421.jpg,0.26,0.34,0.4
422.jpg,0.24,0.42,0.34
423.jpg,0.3,0.42,0.28
424.jpg,0.06,0.5,0.44
425.jpg,0.1,0.7,0.2
426.jpg,0.2,0.5,0.3
427.jpg,0.2,0.32,0.48
428.jpg,0.22,0.56,0.22
429.jpg,0.24,0.42,0.34
43.jpg,0.04,0.76,0.2
430.jpg,0.12,0.52,0.36
431.jpg,0.36,0.54,0.1
432.jpg,0.2,0.26,0.54
433.jpg,0.3,0.28,0.42
434.jpg,0.34,0.36,0.3
435.jpg,0.14,0.36,0.5
436.jpg,0.18,0.52,0.3
437.jpg,0.24,0.54,0.22
438.jpg,0.12,0.86,0.02
439.jpg,0.2,0.34,0.46
44.jpg,0.28,0.54,0.18
440.jpg,0.08,0.64,0.28
441.jpg,0.14,0.42,0.44
442.jpg,0.3,0.4,0.3
443.jpg,0.08,0.64,0.28
444.jpg,0.24,0.36,0.4
445.jpg,0.2,0.46,0.34
446.jpg,0.34,0.3,0.36
447.jpg,0.14,0.42,0.44
448.jpg,0.18,0.74,0.08
449.jpg,0.22,0.28,0.5
45.jpg,0.1,0.72,0.18
450.jpg,0.1,0.42,0.48
451.jpg,0.34,0.46,0.2
452.jpg,0.08,0.5,0.42
453.jpg,0.3,0.34,0.36
454.jpg,0.18,0.38,0.44
455.jpg,0.22,0.42,0.36
456.jpg,0.22,0.48,0.3
457.jpg,0.14,0.84,0.02
458.jpg,0.14,0.58,0.28
459.jpg,0.2,0.5,0.3
46.jpg,0.16,0.48,0.36
460.jpg,0.3,0.5,0.2
461.jpg,0.22,0.46,0.32
462.jpg,0.18,0.58,0.24
463.jpg,0.24,0.5,0.26
464.jpg,0.24,0.46,0.3
465.jpg,0.06,0.74,0.2
466.jpg,0.06,0.56,0.38
467.jpg,0.16,0.34,0.5
468.jpg,0.28,0.44,0.28
469.jpg,0.2,0.64,0.16
47.jpg,0.1,0.44,0.46
470.jpg,0.06,0.5,0.44
471.jpg,0.28,0.46,0.26
472.jpg,0.04,0.48,0.48
473.jpg,0.12,0.78,0.1
474.jpg,0.12,0.56,0.32
475.jpg,0.22,0.26,0.52
476.jpg,0.14,0.6,0.26
477.jpg,0.06,0.68,0.26
478.jpg,0.24,0.42,0.34
479.jpg,0.1,0.58,0.32
48.jpg,0.1,0.86,0.04
480.jpg,0.14,0.54,0.32
481.jpg,0.18,0.46,0.36
482.jpg,0.2,0.46,0.34
483.jpg,0.26,0.48,0.26
484.jpg,0.16,0.56,0.28
485.jpg,0.2,0.4,0.4
486.jpg,0.24,0.44,0.32
487.jpg,0.18,0.52,0.3
488.jpg,0.14,0.64,0.22
489.jpg,0.18,0.62,0.2
49.jpg,0.02,0.46,0.52
490.jpg,0.06,0.62,0.32
491.jpg,0.12,0.56,0.32
492.jpg,0.18,0.56,0.26
493.jpg,0.08,0.44,0.48
494.jpg,0.18,0.46,0.36
495.jpg,0.16,0.56,0.28
496.jpg,0.12,0.54,0.34
497.jpg,0.14,0.58,0.28
498.jpg,0.08,0.32,0.6
499.jpg,0.26,0.36,0.38
5.jpg,0.1,0.5,0.4
50.jpg,0.16,0.32,0.52
500.jpg,0.3,0.42,0.28
501.jpg,0.3,0.56,0.14
502.jpg,0.08,0.54,0.38
503.jpg,0.12,0.5,0.38
504.jpg,0.16,0.6,0.24
505.jpg,0.54,0.44,0.02
506.jpg,0.44,0.36,0.2
507.jpg,0.22,0.5,0.28
508.jpg,0.14,0.62,0.24
509.jpg,0.26,0.52,0.22
51.jpg,0.18,0.56,0.26
510.jpg,0.16,0.4,0.44
511.jpg,0.16,0.42,0.42
52.jpg,0.14,0.52,0.34
53.jpg,0.12,0.54,0.34
54.jpg,0.1,0.72,0.18
55.jpg,0.14,0.7,0.16
56.jpg,0.12,0.46,0.42
57.jpg,0.12,0.44,0.44
58.jpg,0.18,0.58,0.24
59.jpg,0.32,0.52,0.16
6.jpg,0.32,0.34,0.34
60.jpg,0.16,0.54,0.3
61.jpg,0.2,0.48,0.32
62.jpg,0.14,0.48,0.38
63.jpg,0.06,0.7,0.24
64.jpg,0.26,0.56,0.18
65.jpg,0.24,0.52,0.24
66.jpg,0.16,0.48,0.36
67.jpg,0.18,0.52,0.3
68.jpg,0.12,0.68,0.2
69.jpg,0.18,0.58,0.24
7.jpg,0.12,0.38,0.5
70.jpg,0.12,0.66,0.22
71.jpg,0.2,0.48,0.32
72.jpg,0.28,0.54,0.18
73.jpg,0.14,0.56,0.3
74.jpg,0.2,0.38,0.42
75.jpg,0.1,0.44,0.46
76.jpg,0.14,0.34,0.52
77.jpg,0.08,0.44,0.48
78.jpg,0.22,0.3,0.48
79.jpg,0.46,0.54,0.0
8.jpg,0.04,0.82,0.14
80.jpg,0.08,0.74,0.18
81.jpg,0.32,0.34,0.34
82.jpg,0.18,0.56,0.26
83.jpg,0.02,0.28,0.7
84.jpg,0.38,0.44,0.18
85.jpg,0.3,0.6,0.1
86.jpg,0.16,0.76,0.08
87.jpg,0.06,0.16,0.78
88.jpg,0.24,0.64,0.12
89.jpg,0.3,0.22,0.48
9.jpg,0.14,0.48,0.38
90.jpg,0.16,0.44,0.4
91.jpg,0.32,0.6,0.08
92.jpg,0.16,0.48,0.36
93.jpg,0.1,0.44,0.46
94.jpg,0.3,0.4,0.3
95.jpg,0.22,0.5,0.28
96.jpg,0.12,0.62,0.26
97.jpg,0.2,0.16,0.64
98.jpg,0.26,0.6,0.14
99.jpg,0.3,0.34,0.36
